,imdb_id,title,mpaa_rating,runtime,genre,star_rating
8060,tt9169974,Nakee 2,NaN,93 min,"Fantasy, Romance",5.8
8061,tt2077833,Rowdy Rathore,Not Rated,140 min,Action,5.7
8062,tt8461958,Une colonie,NaN,102 min,Drama,7.7
8063,tt4126394,Darling,Not Rated,78 min,"Horror, Thriller",5.5
8064,tt2501366,Scrawl,NaN,82 min,"Fantasy, Horror",3.9
8065,tt5893906,Diminuendo,NaN,106 min,"Romance, Sci-Fi",4.5
8066,tt4211312,The White King,Not Rated,89 min,"Drama, Sci-Fi",5.8
8067,tt1859603,The Guest House,Not Rated,82 min,Romance,3.5
8068,tt5754850,Cubby,Unrated,83 min,"Comedy, Drama, Fantasy",4.5
8069,tt5290524,Quo vado?,NaN,86 min,Comedy,6.6
8070,tt2445178,Molly Moon and the Incredible Book of Hypnotism,PG,98 min,"Adventure, Family, Fantasy",5.3
8071,tt3426810,Lan Kwai Fong 3,NaN,93 min,"Comedy, Romance",4.2
8072,tt8174450,The Other Side of Heaven 2: Fire of Faith,PG-13,117 min,"Adventure, Biography, Drama",5.1
8073,tt1682187,Vykrutasy,Not Rated,90 min,"Comedy, Romance, Sport",6.0
8074,tt1602472,2 Days in New York,R,96 min,"Comedy, Drama, Romance",6.0
8075,tt6750884,Poramon 2,NaN,146 min,"Drama, Romance",6.7
8076,tt6929642,Kaala,Not Rated,162 min,"Action, Drama",6.8
8077,tt7436642,The Last Note,Not Rated,117 min,"Drama, War",7.6
8078,tt9130810,Die Kinder der Toten,NaN,90 min,Mystery,5.9
8079,tt1407049,Altitude,R,90 min,"Horror, Mystery, Sci-Fi",4.8
8080,tt2259122,Love Is All You Need?,NaN,121 min,Drama,6.2
8081,tt0878835,Please Give,R,87 min,"Comedy, Drama",6.6
8082,tt10228180,Tlamess,NaN,120 min,Drama,6.2
8083,tt2404583,Ironclad: Battle for Blood,NaN,108 min,"Action, Adventure, Drama",4.4
8084,tt2358911,Berserk: The Golden Age Arc II - The Battle for Doldrey,TV-MA,80 min,"Animation, Action, Adventure",7.8
8085,tt8518260,Paper Friends,TV-14,95 min,Drama,NaN
8086,tt6917314,Io sono Tempesta,NaN,102 min,"Comedy, Drama",5.7
8087,tt5168238,Another Version of You,NaN,NaN,"Adventure, Fantasy, Romance",5.4
8088,tt6102104,The Ride,PG-13,98 min,Action,7.6
8089,tt8811474,All my Loving,NaN,116 min,Drama,6.5
8090,tt5989220,Claire's Camera,Unrated,69 min,Drama,6.4
8091,tt3309874,Eleven Eleven,NaN,92 min,Comedy,5.0
8092,tt7823906,Politics,NaN,134 min,Drama,3.5
8093,tt2317412,Breeding Farm,NaN,85 min,Horror,4.0
8094,tt5096246,Disappearance,NaN,79 min,"Romance, Thriller",3.9
8095,tt2190492,The House That Jack Built,Not Rated,90 min,"Drama, Family",6.0
8096,tt2347134,Yurusarezaru mono,NaN,135 min,"Action, Crime, Drama",7.1
8097,tt6014408,Blood Ride,NaN,18 min,Action,6.3
8098,tt1573072,Housefull,Not Rated,144 min,Comedy,5.4
8099,tt7689532,Invisible Sue,NaN,90 min,"Adventure, Fantasy",4.3
8100,tt4000870,Addicted to Fresno,Not Rated,85 min,"Comedy, Crime, Drama",5.4
8101,tt4180576,Bridgend,Not Rated,95 min,"Drama, Horror",5.5
8102,tt4025798,The Tombs,NaN,78 min,Horror,2.9
8103,tt9799386,Now You See Me Live!,NaN,NaN,Fantasy,8.0
8104,tt8169552,Turma da Mônica: Laços,NaN,97 min,"Adventure, Comedy, Family",7.3
8105,tt3349772,Back in the Day,Unrated,121 min,"Drama, Sport",4.0
8106,tt2341766,Nautanki Saala!,NaN,119 min,Comedy,5.8
8107,tt7212992,Silver Lake,NaN,95 min,Comedy,6.3
